id,device_id,timestamp,temperature,humidity,pressure_hpa,status
1,arduino_dht22,2026-06-22 11:57:20,23.50,46.70,,OK
2,esp32_bmp280,2026-06-22 11:57:20,24.57,,1013.89,OK
3,esp32_bmp280,2026-06-22 11:57:21,24.35,,1011.49,OK
4,arduino_dht22,2026-06-22 11:57:22,23.20,48.20,,OK
5,esp32_bmp280,2026-06-22 11:57:22,24.43,,1013.92,OK
6,esp32_bmp280,2026-06-22 11:57:23,24.55,,1014.05,OK
7,arduino_dht22,2026-06-22 11:57:24,22.50,45.10,,OK
8,esp32_bmp280,2026-06-22 11:57:24,24.59,,1013.72,OK
9,esp32_bmp280,2026-06-22 11:57:25,24.37,,1012.1,OK
10,arduino_dht22,2026-06-22 11:57:26,22.40,45.10,,OK
11,esp32_bmp280,2026-06-22 11:57:26,24.40,,1013.39,OK
12,esp32_bmp280,2026-06-22 11:57:27,24.50,,1013.31,OK
13,arduino_dht22,2026-06-22 11:57:28,22.30,45.20,,OK
14,esp32_bmp280,2026-06-22 11:57:28,24.62,,1013.41,OK
15,esp32_bmp280,2026-06-22 11:57:29,24.47,,1013.12,OK
16,arduino_dht22,2026-06-22 11:57:30,23.70,45.40,,OK
17,esp32_bmp280,2026-06-22 11:57:30,24.21,,1013.87,OK
18,esp32_bmp280,2026-06-22 11:57:31,24.42,,1012.08,OK
19,arduino_dht22,2026-06-22 11:57:32,23.80,46.50,,OK
20,esp32_bmp280,2026-06-22 11:57:32,24.54,,1013.48,OK
21,esp32_bmp280,2026-06-22 11:57:33,24.34,,1012.1,OK
22,arduino_dht22,2026-06-22 11:57:34,23.50,47.50,,OK
23,esp32_bmp280,2026-06-22 11:57:34,24.48,,1013.17,OK
24,esp32_bmp280,2026-06-22 11:57:35,24.57,,1012.23,OK
25,arduino_dht22,2026-06-23 09:31:19,23.60,45.90,,OK
26,esp32_bmp280,2026-06-23 09:31:19,24.65,,1012.66,OK
27,esp32_bmp280,2026-06-23 09:31:20,24.64,,1013.88,OK
28,arduino_dht22,2026-06-23 09:31:21,23.00,45.10,,OK
29,esp32_bmp280,2026-06-23 09:31:21,24.18,,1012.98,OK
30,esp32_bmp280,2026-06-23 09:31:22,24.16,,1012.31,OK
31,arduino_dht22,2026-06-23 09:31:23,22.20,47.10,,OK
32,esp32_bmp280,2026-06-23 09:31:23,24.17,,1013.63,OK
33,esp32_bmp280,2026-06-23 09:31:24,24.61,,1011.77,OK
34,arduino_dht22,2026-06-23 09:31:25,23.50,48.30,,OK
35,esp32_bmp280,2026-06-23 09:31:25,24.26,,1013.02,OK
36,esp32_bmp280,2026-06-23 09:31:26,24.48,,1013.54,OK
37,arduino_dht22,2026-06-23 09:31:27,22.10,46.60,,OK
38,esp32_bmp280,2026-06-23 09:31:27,24.28,,1011.49,OK
39,esp32_bmp280,2026-06-23 09:31:28,24.35,,1012.33,OK
40,arduino_dht22,2026-06-23 09:31:29,22.80,48.30,,OK
41,esp32_bmp280,2026-06-23 09:31:29,24.59,,1012.89,OK
